scenario_id,contingency_type,outage_type,description,severity,num_elements_out,element1_type,element1_name,element1_class,element1_index,element1_rating_capacity,element2_type,element2_name,element2_class,element2_index,element2_rating_capacity,generation_date,notes
0,BASE,none,Base case - no outages,none,0,none,none,none,-1,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Reference case with all elements in service
1,N-1,transformer,Transformer outage: Trf 02 - 30,high,1,transformer,Trf 02 - 30,ElmTr2,6,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
2,N-1,line,Line outage: Line 25 - 26,medium,1,line,Line 25 - 26,ElmLne,7,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
3,N-1,line,Line outage: Line 16 - 21,medium,1,line,Line 16 - 21,ElmLne,1,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
4,N-1,generator,Generator outage: G 02,medium,1,generator,G 02,ElmSym,1,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
5,N-1,line,Line outage: Line 04 - 05,medium,1,line,Line 04 - 05,ElmLne,17,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
6,N-1,line,Line outage: Line 03 - 04,medium,1,line,Line 03 - 04,ElmLne,15,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
7,N-1,line,Line outage: Line 02 - 25,medium,1,line,Line 02 - 25,ElmLne,14,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
8,N-1,line,Line outage: Line 26 - 27,medium,1,line,Line 26 - 27,ElmLne,8,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
9,N-1,generator,Generator outage: G 07,medium,1,generator,G 07,ElmSym,6,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
10,N-1,line,Line outage: Line 23 - 24,medium,1,line,Line 23 - 24,ElmLne,6,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
11,N-1,transformer,Transformer outage: Trf 11 - 12,high,1,transformer,Trf 11 - 12,ElmTr2,9,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239353,Auto-generated N-1 contingency
12,N-1,transformer,Transformer outage: Trf 19 - 20,high,1,transformer,Trf 19 - 20,ElmTr2,0,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239744,Auto-generated N-1 contingency
13,N-1,line,Line outage: Line 22 - 23,medium,1,line,Line 22 - 23,ElmLne,5,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239744,Auto-generated N-1 contingency
14,N-1,transformer,Transformer outage: Trf 22 - 35,high,1,transformer,Trf 22 - 35,ElmTr2,3,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239744,Auto-generated N-1 contingency
15,N-1,line,Line outage: Line 10 - 13,medium,1,line,Line 10 - 13,ElmLne,27,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239744,Auto-generated N-1 contingency
16,N-1,line,Line outage: Line 16 - 24,medium,1,line,Line 16 - 24,ElmLne,2,0.0,none,none,none,-1,0.0,2025-08-02T20:51:23.239744,Auto-generated N-1 contingency
