element_type,element_name,perturbation_type,base_value_MW,base_value_MVAR,sensitivity_value,sensitivity_magnitude,bus_index
generator,G 02,P,595.000000006024,453.7586757820054,7.198033569819629e-05,7.198033569819629e-05,0
generator,G 02,P,595.000000006024,453.7586757820054,3.7850693957097724e-05,3.7850693957097724e-05,1
generator,G 02,P,595.000000006024,453.7586757820054,3.603328521199489e-05,3.603328521199489e-05,2
generator,G 02,P,595.000000006024,453.7586757820054,3.760292860811032e-05,3.760292860811032e-05,3
generator,G 02,P,595.000000006024,453.7586757820054,5.1020699675036194e-05,5.1020699675036194e-05,4
generator,G 02,P,595.000000006024,453.7586757820054,2.9205002362481246e-05,2.9205002362481246e-05,5
generator,G 02,P,595.000000006024,453.7586757820054,5.153324358921907e-05,5.153324358921907e-05,6
generator,G 02,P,595.000000006024,453.7586757820054,6.254289569035398e-05,6.254289569035398e-05,7
generator,G 02,P,595.000000006024,453.7586757820054,8.435443702679014e-05,8.435443702679014e-05,8
generator,G 02,P,595.000000006024,453.7586757820054,2.0014304646126524e-05,2.0014304646126524e-05,9
generator,G 02,P,595.000000006024,453.7586757820054,2.2989109835169774e-05,2.2989109835169774e-05,10
generator,G 02,P,595.000000006024,453.7586757820054,2.2508814174121428e-05,2.2508814174121428e-05,11
generator,G 02,P,595.000000006024,453.7586757820054,2.104157827141906e-05,2.104157827141906e-05,12
generator,G 02,P,595.000000006024,453.7586757820054,2.5073595006741555e-05,2.5073595006741555e-05,13
generator,G 02,P,595.000000006024,453.7586757820054,1.810459551581656e-05,1.810459551581656e-05,14
generator,G 02,P,595.000000006024,453.7586757820054,1.552518333389763e-05,1.552518333389763e-05,15
generator,G 02,P,595.000000006024,453.7586757820054,2.2750132543081224e-05,2.2750132543081224e-05,16
generator,G 02,P,595.000000006024,453.7586757820054,2.8569578440368338e-05,2.8569578440368338e-05,17
generator,G 02,P,595.000000006024,453.7586757820054,5.68881266889143e-06,5.68881266889143e-06,18
generator,G 02,P,595.000000006024,453.7586757820054,3.1032008009745924e-06,3.1032008009745924e-06,19
generator,G 02,P,595.000000006024,453.7586757820054,1.0865301856044507e-05,1.0865301856044507e-05,20
generator,G 02,P,595.000000006024,453.7586757820054,5.7772671239186835e-06,5.7772671239186835e-06,21
generator,G 02,P,595.000000006024,453.7586757820054,5.971799029069746e-06,5.971799029069746e-06,22
generator,G 02,P,595.000000006024,453.7586757820054,1.4115392728886178e-05,1.4115392728886178e-05,23
generator,G 02,P,595.000000006024,453.7586757820054,2.758039183298755e-05,2.758039183298755e-05,24
generator,G 02,P,595.000000006024,453.7586757820054,1.7574813814369428e-05,1.7574813814369428e-05,25
generator,G 02,P,595.000000006024,453.7586757820054,2.3342887957883418e-05,2.3342887957883418e-05,26
generator,G 02,P,595.000000006024,453.7586757820054,9.092714306280226e-06,9.092714306280226e-06,27
generator,G 02,P,595.000000006024,453.7586757820054,6.223063341570523e-06,6.223063341570523e-06,28
generator,G 03,P,650.0000000068052,488.17365810934007,0.000151683686370635,0.000151683686370635,0
generator,G 03,P,650.0000000068052,488.17365810934007,8.049880669344645e-05,8.049880669344645e-05,1
generator,G 03,P,650.0000000068052,488.17365810934007,7.79886053232981e-05,7.79886053232981e-05,2
generator,G 03,P,650.0000000068052,488.17365810934007,8.313432041177072e-05,8.313432041177072e-05,3
generator,G 03,P,650.0000000068052,488.17365810934007,0.0001139432698779086,0.0001139432698779086,4
generator,G 03,P,650.0000000068052,488.17365810934007,7.190497885803393e-05,7.190497885803393e-05,5
generator,G 03,P,650.0000000068052,488.17365810934007,0.00011562152595384067,0.00011562152595384067,6
generator,G 03,P,650.0000000068052,488.17365810934007,0.00013702676472693298,0.00013702676472693298,7
generator,G 03,P,650.0000000068052,488.17365810934007,0.00017106590294271306,0.00017106590294271306,8
