,Bus_01,Bus_02,Bus_03,Bus_04,Bus_05,Bus_06,Bus_07,Bus_08,Bus_09,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19,Bus_20,Bus_21,Bus_22,Bus_23,Bus_24,Bus_25,Bus_26,Bus_27,Bus_28,Bus_29,Bus_30,Bus_31,Bus_32,Bus_33,Bus_34,Bus_35,Bus_36,Bus_37,Bus_38,Bus_39
Bus_01,-0.05384238679487374,0.02029466360993785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03355269956182703
Bus_02,0.02029466360993785,-0.18069924512513616,0.05523034524191008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05876198041867809,0.0,0.0,0.0,0.0,0.046417656780246425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus_03,0.0,0.05523034524191008,-0.15726418918016288,0.0392977274080458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06274072258892376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus_04,0.0,0.0,0.0392977274080458,-0.16955558034210957,0.06538206929038354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06487912859161439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus_05,0.0,0.0,0.0,0.06538206929038354,-0.46124874743126515,0.3212374855519479,0.0,0.07463346542502287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus_06,0.0,0.0,0.0,0.0,0.3212374855519479,-0.5474911704804979,0.09093492234119517,0.0,0.0,0.0,0.10171723819649484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033606385785503845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus_07,0.0,0.0,0.0,0.0,0.0,0.09093492234119517,-0.27220453749883544,0.18127271100870399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus_08,0.0,0.0,0.0,0.0,0.07463346542502287,0.0,0.18127271100870399,-0.278954222952532,0.02305234679985304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02305234679985304,-0.056598854546542204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03355269956182703
Bus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42942384582287163,0.19370972672682682,0.0,0.19370972672682682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04200798245543971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
