element_idx,element_name,element_type,from_bus,to_bus,P_from_MW,Q_from_MVAR,P_to_MW,Q_to_MVAR,loading_percent,R_ohm,X_ohm,rating_MVA,R_pu,X_pu
0,Line 01 - 02,Line,Cub_3,Cub_5,79.45513308117614,-36.01480541015255,-79.25357574190835,-38.052443610094734,14.087421795346094,4.1658759117126465,48.91927719116211,0,,
1,Line 01 - 39,Line,Cub_2,Cub_3,-79.45513309324775,36.0148054101516,79.56693420490973,-114.14835878292875,22.6070604449379,1.190250039100647,29.756250381469727,0,,
2,Line 02 - 03,Line,Cub_4,Cub_3,536.8122092800531,132.12361773293458,-533.1229885864426,-116.66155392620146,89.59209552837348,1.5473246574401855,17.972774505615234,0,,
3,Line 02 - 25,Line,Cub_6,Cub_5,-207.55863355826241,61.64626454752988,210.63445392768168,-73.9202949882493,35.48425255605196,8.33174991607666,10.236149787902832,0,,
4,Line 03 - 04,Line,Cub_2,Cub_3,241.9031753202859,144.2415692310376,-240.86763920605887,-149.51694602724262,48.16830322786216,1.5473250150680542,25.352327346801758,0,,
5,Line 03 - 18,Line,Cub_4,Cub_3,-30.780186747034953,-29.980015396782466,30.793985983154343,7.86919943837549,7.053867774750569,1.3092750310897827,15.83032512664795,0,,
6,Line 04 - 05,Line,Cub_4,Cub_3,-2.1753801943974906,33.76414930095141,2.188794612770937,-46.499770316678195,7.951423928609734,0.9522000551223755,15.235200881958008,0,,
7,Line 04 - 14,Line,Cub_2,Cub_2,-256.956980619545,-68.24720324633589,257.5326990825439,63.97721795832733,45.17205230237923,0.9521999359130859,15.354226112365723,0,,
8,Line 05 - 06,Line,Cub_2,Cub_2,-182.01619574258277,-14.834048012650612,182.0855642944617,11.56690979802822,31.193281200500667,0.2380499690771103,3.0946502685546875,0,,
9,Line 05 - 08,Line,Cub_1,Cub_4,179.82740112005936,61.33381832965419,-179.5188695093863,-71.05141541506302,33.286614006316775,0.9521999359130859,13.330801010131836,0,,
10,Line 06 - 07,Line,Cub_3,Cub_3,257.87782246988195,81.72957606749881,-257.4153301085486,-85.39619433576185,46.74279773036921,0.7141501307487488,10.950300216674805,0,,
11,Line 06 - 11,Line,Cub_4,Cub_2,-449.16338659722237,-97.92807471927695,450.693130072098,102.33769499343188,78.46611284689943,0.8331751227378845,9.760050773620605,0,,
12,Line 07 - 08,Line,Cub_2,Cub_3,23.615327043157265,1.3961943619080168,-23.612851801983766,-8.719110448458643,4.339732113546024,0.47610005736351013,5.475150108337402,0,,
13,Line 08 - 09,Line,Cub_2,Cub_1,-318.86827870372656,-96.2294740774768,321.5001306229593,100.27891808499909,57.42450612448886,2.737574338912964,43.206077575683594,0,,
14,Line 09 - 39,Line,Cub_2,Cub_4,-321.50013063410705,-100.27891808494299,322.51924879822053,0.37386560408141317,55.56392816386916,1.190250039100647,29.756250381469727,0,,
